Country, Year, GDP (in billion USD), Inflation Rate (%), Unemployment Rate (%), Economic Growth (%)
Canada, 2016, 1800, 1.40, 6.90, 1.30
Canada, 2017, 1850, 1.60, 6.30, 3.00
Canada, 2018, 1900, 2.30, 5.80, 2.00
Canada, 2019, 1950, 1.90, 5.60, 1.70
Canada, 2020, 2000, 0.70, 9.50, -5.30
Canada, 2021, 2050, 3.40, 8.00, 4.60
Canada, 2022, 2100, 6.80, 6.00, 3.20
Canada, 2023, 2150, 5.00, 5.90, 1.80
Canada, 2024, 2200, 3.20, 5.60, 2.20
Canada, 2025, 2250, 2.80, 5.40, 2.50
Russia, 2010, 1500, 8.80, 7.50, 4.00
Russia, 2011, 1600, 6.10, 6.10, 4.30
Russia, 2012, 1700, 6.60, 5.40, 3.40
Russia, 2013, 1750, 6.80, 5.20, 1.80
Russia, 2014, 1800, 15.50, 5.60, 0.50
Russia, 2015, 1700, 12.90, 5.60, -3.70
Russia, 2016, 1600, 5.40, 5.60, -0.20
Russia, 2017, 1650, 3.70, 5.20, 1.50
Russia, 2018, 1700, 2.90, 4.80, 2.30
Russia, 2019, 1750, 4.30, 4.50, 1.30
Russia, 2020, 1800, 3.40, 6.20, -3.10
Russia, 2021, 1900, 5.40, 5.20, 4.30
Russia, 2022, 2000, 8.00, 6.20, -2.00
Russia, 2023, 2100, 7.50, 5.90, -0.50
Russia, 2024, 2200, 5.60, 5.70, 1.10
Russia, 2025, 2300, 4.80, 5.50, 1.70
Australia, 2010, 1300, 2.80, 5.20, 2.90
Australia, 2011, 1350, 3.00, 5.00, 3.10
Australia, 2012, 1400, 2.00, 5.10, 3.30
Australia, 2013, 1450, 2.50, 5.60, 2.50
Australia, 2014, 1500, 2.50, 5.80, 2.90
Australia, 2015, 1550, 1.50, 6.20, 3.00
Australia, 2016, 1600, 1.00, 5.70, 2.50
Australia, 2017, 1650, 1.80, 5.60, 2.90
Australia, 2018, 1700, 1.90, 5.40, 2.80
Australia, 2019, 1750, 1.80, 5.30, 2.10
Australia, 2020, 1800, 0.90, 7.00, -2.10
Australia, 2021, 1850, 2.10, 6.00, 4.40
Australia, 2022, 1900, 5.10, 5.00, 3.00
Australia, 2023, 1950, 6.10, 4.90, 1.70
Australia, 2024, 2000, 3.70, 4.80, 2.30
Australia, 2025, 2050, 2.90, 4.60, 2.70
France, 2010, 2400, 1.50, 9.50, 1.70
France, 2011, 2500, 2.30, 9.80, 1.10
France, 2012, 2600, 2.00, 10.00, 0.00
France, 2013, 2700, 0.90, 10.30, -0.20
France, 2014, 2800, 0.30, 10.50, 0.20
France, 2015, 2900, 0.10, 10.30, 1.20
France, 2016, 3000, 0.20, 10.00, 1.10
France, 2017, 3100, 1.00, 9.50, 2.30
France, 2018, 3200, 2.10, 9.10, 1.80
France, 2019, 3300, 1.30, 8.80, 1.30
France, 2020, 3400, 0.50, 9.40, -7.80
France, 2021, 3500, 1.60, 8.10, 7.00
France, 2022, 3600, 5.00, 7.80, 2.60
France, 2023, 3700, 6.10, 7.50, 1.50
France, 2024, 3800, 3.90, 7.20, 2.10
France, 2025, 3900, 2.80, 6.90, 2.50
South Korea, 2010, 1000, 2.90, 3.60, 6.20
South Korea, 2011, 1050, 4.00, 3.40, 3.60
South Korea, 2012, 1100, 2.20, 3.20, 2.30
South Korea, 2013, 1150, 1.30, 3.10, 2.90
South Korea, 2014, 1200, 1.30, 3.50, 3.30
South Korea, 2015, 1250, 0.70, 3.40, 2.80
South Korea, 2016, 1300, 1.00, 3.70, 2.80
South Korea, 2017, 1350, 1.90, 3.70, 3.10
South Korea, 2018, 1400, 1.50, 3.80, 2.70
South Korea, 2019, 1450, 0.40, 3.70, 2.00
South Korea, 2020, 1500, 0.50, 4.00, -1.00
South Korea, 2021, 1550, 2.00, 3.50, 4.00
South Korea, 2022, 1600, 5.00, 3.30, 2.30
South Korea, 2023, 1650, 3.80, 3.20, 1.80
South Korea, 2024, 1700, 2.80, 3.10, 2.10
South Korea, 2025, 1750, 2.50, 3.00, 2.50
Saudi Arabia, 2010, 434.0, 5.40, 10.50, 4.20
Saudi Arabia, 2011, 518.0, 5.40, 10.50, 10.50
Saudi Arabia, 2012, 678.0, 5.40, 10.50, 6.50
Saudi Arabia, 2013, 746.0, 5.40, 10.50, 10.00
Saudi Arabia, 2014, 746.0, 5.40, 10.50, 10.00
Saudi Arabia, 2015, 646.0, 5.40, 10.50, -14.00
Saudi Arabia, 2016, 646.0, 5.40, 10.50, 0.00
Saudi Arabia, 2017, 646.0, 5.40, 10.50, 0.00
Saudi Arabia, 2018, 646.0, 5.40, 10.50, 0.00
Saudi Arabia, 2019, 646.0, 5.40, 10.50, 0.00
Saudi Arabia, 2020, 646.0, 5.40, 10.50, 0.00
Saudi Arabia, 2021, 646.0, 5.40, 10.50, 0.00
Saudi Arabia, 2022, 646.0, 5.40, 10.50, 0.00
Saudi Arabia, 2023, 646.0, 5.40, 10.50, 0.00
Saudi Arabia, 2024, 646.0, 5.40, 10.50, 0.00
Saudi Arabia, 2025, 646.0, 5.40, 10.50, 0.00
Brazil, 2010, 2225, 5.91, 6.70, 7.53
Brazil, 2011, 2475, 6.50, 6.00, 2.92
Brazil, 2012, 2465, 5.84, 5.50, 1.92
Brazil, 2013, 2465, 6.30, 5.40, 2.30
Brazil, 2014, 2450, 6.29, 5.30, 0.50
Brazil, 2015, 1800, 9.00, 8.50, -3.80
Brazil, 2016, 1800, 8.74, 11.50, -3.60
Brazil, 2017, 2050, 3.40, 12.70, 1.00
Brazil, 2018, 2200, 3.75, 12.30, 1.10
Brazil, 2019, 2250, 3.73, 11.90, 1.10
Brazil, 2020, 2100, 3.20, 13.50, -3.90
Brazil, 2021, 2200, 10.06, 11.10, 4.60
Brazil, 2022, 2300, 5.79, 9.30, 2.50
Brazil, 2023, 2400, 5.00, 8.50, 2.00
Brazil, 2024, 2500, 4.50, 7.80, 2.00
Brazil, 2025, 2600, 3.30, 7.00, 2.60
Italy, 2010, 2101.0, 1.6, 8.4, 1.7 
Italy, 2011, 2607.0, 3.3, 8.4, 0.5 
Italy, 2012, 2013.0, 3.3, 10.7, -2.8 
Italy, 2013, 2138.0, 0.2, 12.2, -1.8 
Italy, 2014, 2148.0, -0.2, 12.7, -0.4 
Italy, 2015, 1848.0, 0.1, 11.9, 0.8 
Italy, 2016, 1853.0, -0.1, 11.7, 1.1 
Italy, 2017, 2314.0, 1.6, 11.2, 1.6 
Italy, 2018, 2853.0, 0.3, 10.6, 0.9 
Italy, 2019, 3040.0, 0.3, 9.9, 0.3 
Italy, 2020, 3717.0, -0.1, 9.7, -8.9 
Italy, 2021, 4000.0, 1.9, 9.3, 6.6 
Italy, 2022, 4500.0, 8.7, 8.1, 3.5 
Italy, 2023, 4800.0, 5.0, 7.5, 2.0 
Italy, 2024, 5000.0, 3.0, 7.0, 1.5 
Italy, 2025, 5200.0, 2.0, 6.5, 1.0 
Bangladesh, 2010, 105.0, 8.8, 4.5, 6.1
Bangladesh, 2011, 115.0, 8.8, 4.5, 6.5
Bangladesh, 2012, 125.0, 8.0, 4.5, 6.3
Bangladesh, 2013, 135.0, 7.5, 4.5, 6.0
Bangladesh, 2014, 145.0, 7.0, 4.5, 6.5
Bangladesh, 2015, 155.0, 6.5, 4.5, 6.5
Bangladesh, 2016, 165.0, 6.0, 4.5, 7.1
Bangladesh, 2017, 175.0, 5.5, 4.5, 7.3
Bangladesh, 2018, 185.0, 5.0, 4.5, 7.9
Bangladesh, 2019, 195.0, 5.5, 4.5, 8.2
Bangladesh, 2020, 200.0, 5.5, 4.5, 5.2
Bangladesh, 2021, 210.0, 5.5, 4.5, 6.9
Bangladesh, 2022, 220.0, 5.5, 4.5, 7.3
Bangladesh, 2023, 230.0, 5.5, 4.5, 7.5
Bangladesh, 2024, 240.0, 5.5, 4.5, 7.7
Bangladesh, 2025, 250.0, 5.5, 4.5, 7.9
Indonesia, 2010, 706.0, 5.1, 7.1, 6.2
Indonesia, 2011, 846.0, 3.8, 6.6, 6.5
Indonesia, 2012, 1,084.0, 4.3, 6.1
Indonesia, 2013, 1,333.0, 6.4, 5.9
Indonesia, 2014, 1,492.0, 8.4, 5.9
Indonesia, 2015, 1,022.0, 6.4, 6.2
Indonesia, 2016, 1,034.0, 3.5, 5.6
Indonesia, 2017, 1,040.0, 3.6, 5.5
Indonesia, 2018, 1,042.0, 3.2, 5.3
Indonesia, 2019, 1,119.0, 3.5, 5.3
Indonesia, 2020, 1,058.0, 1.7, 7.1
Indonesia, 2021, 1,186.0, 1.6, 6.5
Indonesia, 2022, 1,307.0, 5.5, 5.9
Indonesia, 2023, 1,400.0, 4.5, 5.5
Indonesia, 2024, 1,470.0, 3.5, 5.0
Indonesia, 2025, 1,550.0, 3.0, 4.5
Turkey, 2010, 774.0, 6.4, 11.9, 9.2
Turkey, 2011, 1,226.0, 10.4, 9.8
Turkey, 2012, 1,384.0, 6.2, 8.4
Turkey, 2013, 1,592.0, 7.4, 9.7
Turkey, 2014, 1,767.0, 8.2, 9.9
Turkey, 2015, 1,857.0, 7.7, 10.3
Turkey, 2016, 1,853.0, 8.5, 10.9
Turkey, 2017, 2,315.0, 11.9, 10.8
Turkey, 2018, 2,853.0, 20.3, 11.1
Turkey, 2019, 3,040.0, 11.8, 13.7
Turkey, 2020, 3,717.0, 14.6, 13.2
Turkey, 2021, 4,000.0, 36.1, 12.0
Turkey, 2022, 4,500.0, 85.5, 10.0
Turkey, 2023, 5,000.0, 65.0, 9.0
Turkey, 2024, 5,500.0, 33.0, 8.0
Turkey, 2025, 6,000.0, 15.0, 7.0
Malaysia, 2010, 236.0, 1.7, 3.2, 7.2
Malaysia, 2011, 261.0, 3.2, 3.1, 5.1
Malaysia, 2012, 278.0, 1.6, 3.0, 5.6
Malaysia, 2013, 307.0, 2.1, 2.9, 4.7
Malaysia, 2014, 314.0, 3.2, 2.8, 6.0
Malaysia, 2015, 296.0, 2.1, 3.1, 5.0
Malaysia, 2016, 296.0, 1.8, 3.4, 4.2
Malaysia, 2017, 314.0, 3.8, 3.3, 5.9
Malaysia, 2018, 364.0, 0.3, 3.3, 4.7
Malaysia, 2019, 365.0, 0.3, 3.3, 4.3
Malaysia, 2020, 336.0, -1.2, 4.5, -5.6
Malaysia, 2021, 372.0, 2.5, 4.6, 3.1
Malaysia, 2022, 410.0, 3.3, 4.5, 8.7
Malaysia, 2023, 440.0, 3.0, 4.3, 5.5
Malaysia, 2024, 460.0, 2.5, 4.0, 4.8
Malaysia, 2025, 480.0, 2.0, 3.8, 4.5
Pakistan, 2010, 164.0, 11.7, 5.0, 2.6
Pakistan, 2011, 210.0, 13.7, 5.5, 3.7
Pakistan, 2012, 225.0, 11.0, 6.0, 3.8
Pakistan, 2013, 231.0, 7.4, 6.5, 3.7
Pakistan, 2014, 247.0, 8.6, 6.0, 4.1
Pakistan, 2015, 271.0, 4.5, 5.5, 4.7
Pakistan, 2016, 278.0, 3.8, 5.0, 5.4
Pakistan, 2017, 314.0, 4.0, 5.0, 5.4
Pakistan, 2018, 314.0, 3.9, 5.0, 5.5
Pakistan, 2019, 314.0, 6.8, 5.0, 3.3
Pakistan, 2020, 263.0, 10.7, 5.0, -0.5
Pakistan, 2021, 296.0, 8.9, 5.0, 5.7
Pakistan, 2022, 350.0, 12.3, 5.0, 6.0
Pakistan, 2023, 400.0, 20.0, 5.0, 4.0
Pakistan, 2024, 450.0, 25.0, 5.0, 3.0
Pakistan, 2025, 500.0, 20.0, 5.0, 3.2
